domain,BL,DP,ABY,ACR,Dmoz,C,N,O,D,Reg,RDT,Traffic,Valuation,Price
messlyl.com,"11,945","1,024",2013,33,-,registered,available,available,available,1,2,0,"1,190 USD",50 USD
kyauktan.com,"11,654","1,024",2013,27,-,registered,available,available,available,1,2,4,578 USD,50 USD
xjj2825.com,"6,139","1,023",2020,18,-,registered,available,available,available,1,2,2,0 USD,11 USD
xjj2316.com,"7,526","1,023",2020,16,-,registered,available,available,available,1,2,0,0 USD,11 USD
luxiu702.com,"2,083","1,023",2017,17,-,registered,available,available,available,1,2,2,0 USD,5 USD
Lineup31.com,"1,276","1,023",2013,24,-,registered,available,available,available,1,2,7,"1,116 USD",50 USD
djdolfi.com,"4,010","1,023",2013,38,-,registered,available,available,available,1,2,0,"1,071 USD",50 USD
a9k7.com,"3,376","1,023",2018,19,-,registered,available,available,available,2,2,0,433 USD,5 USD
xjj4097.com,"6,163","1,022",2020,19,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj4013.com,"6,362","1,022",2019,16,-,registered,available,available,available,1,2,2,0 USD,11 USD
xjj3044.com,"6,187","1,022",2020,18,-,registered,available,available,available,1,2,2,0 USD,11 USD
xjj1545.com,"11,127","1,022",2018,18,-,registered,available,available,available,1,2,2,0 USD,40 USD
bmcp6999.com,"9,981","1,022",2018,22,-,registered,available,available,available,1,2,4,0 USD,40 USD
bmcp3888.com,"5,548","1,022",2018,19,-,registered,available,available,available,1,2,4,0 USD,40 USD
Idea808.com,"16,986","1,022",2004,41,-,registered,available,available,available,1,2,4,"1,247 USD",5 USD
neozdjj.com,970,"1,021",2018,21,-,registered,available,available,available,1,2,0,0 USD,40 USD
9Banc.com,"1,323","1,021",2011,29,-,registered,available,available,available,2,5,0,"1,642 USD",50 USD
tsamn.com,"1,275","1,020",2018,18,-,registered,available,available,available,1,10,2,"1,197 USD",50 USD
bmcp7711.com,"1,337","1,020",2018,19,-,registered,available,available,available,1,2,2,0 USD,40 USD
fjgkzs.com,"13,077","1,020",2018,40,-,registered,available,available,available,1,3,2,0 USD,11 USD
akegrus.com,"4,893","1,020",2007,36,-,registered,available,available,available,1,2,0,"1,003 USD",50 USD
madonnaa.com,"16,573","1,020",2001,24,-,registered,available,available,available,1,31,4,"1,239 USD",11 USD
xjj8040.com,"5,196","1,019",2020,19,-,registered,available,available,available,1,2,0,0 USD,11 USD
itcpinfo.com,"9,152","1,019",2011,31,-,registered,available,available,available,1,2,2,912 USD,50 USD
gpsfz.com,"1,340","1,019",2018,18,-,registered,available,available,available,1,4,2,"1,434 USD",50 USD
LogMeMin.com,"2,601","1,019",2009,70,-,registered,available,available,available,1,4,17,"1,172 USD",50 USD
SariElsa.com,"1,534","1,018",2011,44,-,registered,available,available,available,1,3,0,996 USD,50 USD
lueexx.com,"4,002","1,018",2018,21,-,registered,available,available,available,1,2,0,0 USD,11 USD
quxiu269.com,"1,317","1,018",2018,21,-,registered,available,available,available,1,2,4,0 USD,5 USD
KidoIsm.com,"1,337","1,018",2011,45,-,registered,available,available,available,2,2,2,"1,165 USD",50 USD
hrpomade.com,"1,313","1,017",2018,21,-,registered,available,available,available,1,2,0,"1,141 USD",5 USD
444nb88.com,"1,419","1,017",2018,20,-,registered,available,available,available,1,2,13,0 USD,5 USD
nibhor.com,"1,363","1,017",2010,36,-,registered,available,available,available,1,2,2,"1,118 USD",50 USD
marvatel.com,"6,539","1,017",2011,26,-,registered,available,available,available,2,2,2,"1,189 USD",50 USD
a2p8.com,"5,658","1,017",2014,18,-,registered,available,available,available,2,3,4,"1,101 USD",5 USD
ccgfdiz.com,"2,065","1,016",2018,18,-,registered,available,available,available,1,2,2,0 USD,40 USD
mqexjvv.com,"10,051","1,016",2018,19,-,registered,available,available,available,1,2,2,0 USD,40 USD
inmgn.com,"10,827","1,016",2013,41,-,registered,available,available,available,1,3,4,"1,250 USD",50 USD
bjhuadi.com,"1,364","1,015",2011,21,-,registered,available,available,available,2,6,7,"1,559 USD",5 USD
mengmaai.com,"5,923","1,014",2012,24,-,registered,available,available,available,1,2,2,"1,183 USD",50 USD
vinibaco.com,"1,335","1,014",2011,20,-,registered,available,available,available,1,2,2,"1,131 USD",50 USD
xjj1104.com,"13,964","1,013",2020,17,-,registered,available,available,available,1,2,2,0 USD,11 USD
wee-ef.com,"1,572","1,013",2018,17,-,registered,available,available,available,1,2,7,0 USD,5 USD
trakwatt.com,"5,699","1,013",2020,16,-,registered,available,available,available,1,2,0,"1,222 USD",50 USD
ceepoker.com,"4,623","1,013",2013,28,-,registered,available,available,available,1,2,11,"1,406 USD",50 USD
